model,image,stufe,cer_jiwer,wer_jiwer,cer_dinglehopper,wer_dinglehopper,S,D,I,N,wiederholungen,artefakt_zeichen,artefakt_anteil
anthropic_claude-opus-5,anzeige01,roh,0.0066,0.16,0.0066,0.0,0,2,0,301,1,0,0.0
anthropic_claude-opus-5,anzeige01,norm,0.0,0.0,0.0,0.0,0,0,0,297,1,0,0.0
anthropic_claude-sonnet-5,anzeige01,roh,0.2824,0.8,0.2824,0.15,42,3,40,301,1,3,0.0101
anthropic_claude-sonnet-5,anzeige01,norm,0.1549,0.1579,0.1549,0.15,42,3,1,297,1,3,0.0101
google_gemini-3-5-flash,anzeige01,roh,0.0066,0.16,0.0066,0.0,0,1,1,301,1,0,0.0
google_gemini-3-5-flash,anzeige01,norm,0.0034,0.0526,0.0034,0.0,0,0,1,297,1,0,0.0
openai_gpt-5-6-sol,anzeige01,roh,0.0199,0.04,0.0199,0.0,0,0,6,301,1,5,0.0166
openai_gpt-5-6-sol,anzeige01,norm,0.0,0.0,0.0,0.0,0,0,0,297,1,5,0.0166
anthropic_claude-opus-5,anzeige02,roh,0.0016,0.0167,0.0016,0.0,1,0,0,629,1,0,0.0
anthropic_claude-opus-5,anzeige02,norm,0.0016,0.0133,0.0016,0.0,1,0,0,629,1,0,0.0
anthropic_claude-sonnet-5,anzeige02,roh,0.0048,0.0833,0.0048,0.0,1,0,2,629,1,0,0.0
anthropic_claude-sonnet-5,anzeige02,norm,0.0016,0.0133,0.0016,0.0,1,0,0,629,1,0,0.0
google_gemini-3-5-flash,anzeige02,roh,0.0,0.0,0.0,0.0,0,0,0,629,1,0,0.0
google_gemini-3-5-flash,anzeige02,norm,0.0,0.0,0.0,0.0,0,0,0,629,1,0,0.0
openai_gpt-5-6-sol,anzeige02,roh,0.0048,0.1,0.0048,0.0,0,0,3,629,1,0,0.0
openai_gpt-5-6-sol,anzeige02,norm,0.0,0.0,0.0,0.0,0,0,0,629,1,0,0.0
anthropic_claude-opus-5,anzeige03,roh,0.0078,0.1778,0.0078,0.0,2,1,1,511,1,0,0.0
anthropic_claude-opus-5,anzeige03,norm,0.0039,0.0678,0.0039,0.0,0,1,1,511,1,0,0.0
anthropic_claude-sonnet-5,anzeige03,roh,0.0235,0.3778,0.0235,0.0,2,1,9,511,1,0,0.0
anthropic_claude-sonnet-5,anzeige03,norm,0.002,0.0339,0.002,0.0,0,1,0,511,1,0,0.0
google_gemini-3-5-flash,anzeige03,roh,0.0117,0.2,0.0117,0.0,3,1,2,511,1,0,0.0
google_gemini-3-5-flash,anzeige03,norm,0.0078,0.0847,0.0078,0.0,1,1,2,511,1,0,0.0
openai_gpt-5-6-sol,anzeige03,roh,0.0059,0.0667,0.0059,0.0164,0,3,0,511,1,0,0.0
openai_gpt-5-6-sol,anzeige03,norm,0.0059,0.0508,0.0059,0.0164,0,3,0,511,1,0,0.0
anthropic_claude-opus-5,anzeige04,roh,0.0118,0.1429,0.0118,0.0562,0,4,4,677,1,0,0.0
anthropic_claude-opus-5,anzeige04,norm,0.0059,0.0575,0.0059,0.0562,0,0,4,673,1,0,0.0
anthropic_claude-sonnet-5,anzeige04,roh,0.0,0.0,0.0,0.0,0,0,0,677,1,0,0.0
anthropic_claude-sonnet-5,anzeige04,norm,0.0,0.0,0.0,0.0,0,0,0,673,1,0,0.0
google_gemini-3-5-flash,anzeige04,roh,0.0118,0.1429,0.0118,0.0562,0,4,4,677,1,0,0.0
google_gemini-3-5-flash,anzeige04,norm,0.0059,0.0575,0.0059,0.0562,0,0,4,673,1,0,0.0
openai_gpt-5-6-sol,anzeige04,roh,0.0266,0.1299,0.0266,0.0674,0,9,9,677,1,0,0.0
openai_gpt-5-6-sol,anzeige04,norm,0.0238,0.069,0.0238,0.0674,0,6,10,673,1,0,0.0
anthropic_claude-opus-5,anzeige05,roh,0.0047,0.1111,0.0047,0.0,0,1,0,215,1,0,0.0
anthropic_claude-opus-5,anzeige05,norm,0.0,0.0,0.0,0.0,0,0,0,214,1,0,0.0
anthropic_claude-sonnet-5,anzeige05,roh,0.0419,0.5556,0.0419,0.1429,2,3,4,215,1,0,0.0
anthropic_claude-sonnet-5,anzeige05,norm,0.0234,0.16,0.0234,0.1429,2,3,0,214,1,0,0.0
google_gemini-3-5-flash,anzeige05,roh,0.0047,0.1111,0.0047,0.0,0,1,0,215,1,0,0.0
google_gemini-3-5-flash,anzeige05,norm,0.0,0.0,0.0,0.0,0,0,0,214,1,0,0.0
openai_gpt-5-6-sol,anzeige05,roh,0.0186,0.3333,0.0186,0.0357,1,0,3,215,1,0,0.0
openai_gpt-5-6-sol,anzeige05,norm,0.0093,0.08,0.0093,0.0357,1,0,1,214,1,0,0.0
