gold_zeichen,hyp_zeichen,gesamt,deepseek-ocr_3b,gemma4_e4b,glm-ocr_latest,maternion_lightonocr-2_1b,qwen3-vl_2b,qwen3-vl_4b
ė,é,6,1,1,1,1,1,1
s,∅,5,0,1,2,1,1,0
∅, ,5,1,0,2,0,0,2
 ,∅,4,0,4,0,0,0,0
p,f,4,0,1,0,1,1,1
h,∅,4,0,1,0,1,1,1
g,∅,2,0,2,0,0,0,0
.,∅,2,0,2,0,0,0,0
n,∅,2,1,1,0,0,0,0
i,∅,2,0,2,0,0,0,0
∅,s,2,1,0,1,0,0,0
∅,e,2,1,0,0,0,1,0
s,ß,2,2,0,0,0,0,0
r,∅,2,0,2,0,0,0,0
c,∅,2,2,0,0,0,0,0
b,∅,1,0,1,0,0,0,0
n,s,1,0,0,0,1,0,0
e,∅,1,0,1,0,0,0,0
P,∅,1,0,1,0,0,0,0
K,R,1,0,1,0,0,0,0
K,n,1,1,0,0,0,0,0
K,∅,1,0,1,0,0,0,0
w,m,1,1,0,0,0,0,0
t,f,1,0,0,1,0,0,0
—,∅,1,0,1,0,0,0,0
ö,∅,1,0,1,0,0,0,0
w,r,1,0,0,0,0,1,0
∅,A,1,1,0,0,0,0,0
∅,m,1,0,0,0,0,0,1
∅,n,1,0,0,0,0,1,0
∅,r,1,0,0,0,0,1,0
∅,t,1,0,0,0,0,1,0
