gold_zeichen,hyp_zeichen,gesamt,deepseek-ocr_3b,gemma4_e4b,glm-ocr_bf16,maternion_lightonocr-2_1b,minicpm-v4.5_8b,qwen3-vl_4b,qwen3.5_4b
ė,é,7,1,1,1,1,1,1,1
p,f,4,0,1,0,1,0,1,1
s,∅,4,0,0,2,1,1,0,0
h,∅,4,0,1,0,1,0,1,1
∅, ,4,0,0,2,0,0,2,0
s,f,3,3,0,0,0,0,0,0
c,∅,2,1,0,0,0,1,0,0
—,-,2,0,1,0,0,0,0,1
K,R,2,0,1,0,0,1,0,0
A,r,1,1,0,0,0,0,0,0
K,A,1,1,0,0,0,0,0,0
:,∅,1,0,1,0,0,0,0,0
n,s,1,0,0,0,1,0,0,0
s,d,1,1,0,0,0,0,0,0
i,∅,1,0,0,0,0,1,0,0
l,h,1,0,0,0,0,1,0,0
w,n,1,1,0,0,0,0,0,0
w,m,1,0,0,0,0,1,0,0
∅,O,1,1,0,0,0,0,0,0
∅,e,1,1,0,0,0,0,0,0
∅,m,1,0,0,0,0,0,1,0
