gold_zeichen,hyp_zeichen,ebene,gesamt,gelegenheiten,anteil,anthropic_claude-haiku-4-5-20251001,anthropic_claude-opus-5,anthropic_claude-sonnet-5,deepseek-ocr_3b,gemma4_e4b,glm-ocr_bf16,google_gemini-3-5-flash,maternion_lightonocr-2_1b,minicpm-v4.5_8b,openai_gpt-5-6-sol,qwen3-vl_4b-instruct,qwen3-vl_8b-instruct,qwen3.5_4b
s,f,graphemisch,62,1161.0,0.0534,0,0,0,14,2,14,0,0,26,0,5,0,1
 ,∅,Segmentierung,51,3348.0,0.0152,0,7,3,6,4,5,3,3,8,3,4,1,4
k,t,graphemisch,24,367.0,0.0654,0,0,0,7,0,4,0,1,9,0,3,0,0
∅, ,Segmentierung,22,,,0,0,0,15,0,0,6,0,0,1,0,0,0
-,∅,graphemisch,20,315.0,0.0635,0,5,2,2,2,1,2,2,1,3,0,0,0
k,f,graphemisch,16,367.0,0.0436,0,0,0,0,0,8,0,0,8,0,0,0,0
s,∅,graphemisch,14,1161.0,0.0121,0,0,0,3,2,1,0,0,4,0,4,0,0
z,∅,graphemisch,14,220.0,0.0636,0,0,0,1,2,3,0,0,2,1,2,3,0
∅,f,graphemisch,12,,,0,0,0,1,1,3,0,0,5,0,1,1,0
t,∅,graphemisch,10,1172.0,0.0085,0,0,0,2,1,0,0,2,1,1,2,1,0
A,U,graphemisch,7,276.0,0.0254,0,0,0,0,0,4,0,1,2,0,0,0,0
i,∅,graphemisch,7,1489.0,0.0047,0,0,0,0,3,0,0,0,1,1,1,0,1
r,∅,graphemisch,7,1817.0,0.0039,0,0,0,1,4,1,0,0,0,1,0,0,0
e,∅,graphemisch,6,2771.0,0.0022,0,0,0,1,2,1,0,0,0,0,0,1,1
ė,è,graphemisch,6,36.0,0.1667,0,0,0,0,1,2,0,2,0,0,0,0,1
∅,k,graphemisch,5,,,0,0,0,0,2,0,0,0,0,1,1,1,0
t,k,graphemisch,5,1172.0,0.0043,0,0,0,0,1,2,0,0,0,0,0,1,1
t,f,graphemisch,5,1172.0,0.0043,0,0,0,1,0,2,0,0,2,0,0,0,0
a,∅,graphemisch,5,1170.0,0.0043,0,0,0,0,3,1,0,0,0,1,0,0,0
P,D,graphemisch,5,147.0,0.034,0,0,0,0,0,0,0,1,1,0,1,1,1
O,D,graphemisch,5,76.0,0.0658,0,0,0,1,0,1,0,1,1,0,1,0,0
∅,s,graphemisch,4,,,0,0,0,0,1,0,0,0,0,2,1,0,0
s,ß,graphemisch,4,1161.0,0.0034,0,0,0,1,1,1,0,0,0,0,1,0,0
n,∅,graphemisch,4,2033.0,0.002,0,0,0,1,1,0,0,0,0,1,0,1,0
∅,e,graphemisch,4,,,0,0,0,1,1,0,0,0,0,0,0,1,1
t,g,graphemisch,4,1172.0,0.0034,0,0,0,2,0,0,0,0,1,0,1,0,0
k,∅,graphemisch,4,367.0,0.0109,0,0,0,2,1,0,0,0,0,1,0,0,0
c,∅,graphemisch,3,509.0,0.0059,0,0,0,0,2,0,1,0,0,0,0,0,0
O,Ö,graphemisch,3,76.0,0.0395,0,0,0,0,1,0,0,0,0,0,0,1,1
c,d,graphemisch,3,509.0,0.0059,0,0,0,1,1,0,0,0,1,0,0,0,0
“,"""",graphemisch,3,29.0,0.1034,1,1,1,0,0,0,0,0,0,0,0,0,0
∅,S,graphemisch,3,,,0,0,0,1,1,0,0,0,0,1,0,0,0
a,ä,graphemisch,3,1170.0,0.0026,0,0,0,3,0,0,0,0,0,0,0,0,0
∅,n,graphemisch,3,,,0,0,0,0,2,0,0,0,0,1,0,0,0
ä,a,graphemisch,3,156.0,0.0192,0,0,0,0,0,0,0,0,2,0,0,0,1
ė,é,graphemisch,3,36.0,0.0833,0,0,1,1,0,0,0,0,1,0,0,0,0
h,∅,graphemisch,3,687.0,0.0044,0,0,0,0,2,0,0,0,1,0,0,0,0
A,2,graphemisch,3,276.0,0.0109,0,0,0,3,0,0,0,0,0,0,0,0,0
/,∅,graphemisch,3,60.0,0.05,0,0,0,1,1,1,0,0,0,0,0,0,0
P,∅,graphemisch,3,147.0,0.0204,0,0,0,1,1,1,0,0,0,0,0,0,0
L,r,graphemisch,2,150.0,0.0133,0,0,0,0,1,0,0,0,0,1,0,0,0
-,K,graphemisch,2,315.0,0.0063,0,0,0,0,1,0,0,0,0,1,0,0,0
E,F,graphemisch,2,189.0,0.0106,0,0,0,0,1,0,0,0,0,1,0,0,0
B,-,graphemisch,2,164.0,0.0122,0,0,0,0,1,0,0,0,0,1,0,0,0
A,r,graphemisch,2,276.0,0.0072,0,0,0,0,1,0,0,0,0,1,0,0,0
R, ,Segmentierung,2,106.0,0.0189,0,0,0,0,1,0,0,0,0,1,0,0,0
K,n,graphemisch,2,221.0,0.009,0,0,0,0,1,0,0,0,0,1,0,0,0
K,b,graphemisch,2,221.0,0.009,0,0,0,0,1,0,0,0,0,1,0,0,0
I,u,graphemisch,2,100.0,0.02,0,0,0,0,1,0,0,0,0,1,0,0,0
F,∅,graphemisch,2,137.0,0.0146,0,0,0,0,1,0,0,0,0,1,0,0,0
/, ,Segmentierung,2,60.0,0.0333,0,0,0,0,0,0,0,1,0,0,0,1,0
A,i,graphemisch,2,276.0,0.0072,0,0,0,0,1,0,0,0,0,1,0,0,0
O,d,graphemisch,2,76.0,0.0263,0,0,0,0,1,0,0,0,0,1,0,0,0
 ,O,Segmentierung,2,3348.0,0.0006,0,0,0,0,1,0,0,0,0,1,0,0,0
∅,t,graphemisch,2,,,0,0,0,0,0,0,0,0,1,0,1,0,0
∅,h,graphemisch,2,,,0,0,0,0,1,0,0,0,0,1,0,0,0
∅,c,graphemisch,2,,,0,0,0,0,1,0,0,0,0,1,0,0,0
∅,i,graphemisch,2,,,0,0,0,0,1,0,0,0,0,1,0,0,0
∅,p,graphemisch,2,,,0,0,0,0,1,0,0,0,0,1,0,0,0
Ž,-,graphemisch,2,4.0,0.5,0,0,0,0,1,0,0,0,0,1,0,0,0
„,∅,graphemisch,2,29.0,0.069,0,0,0,0,1,0,0,0,0,1,0,0,0
u,∅,graphemisch,2,1042.0,0.0019,0,0,0,0,1,0,0,0,0,1,0,0,0
